1.066092,1.066092,1.066092,??0.064000
1.067159,1.067159,1.067159,??0.065000
1.068227,1.068227,1.068227,??0.066000
1.069295,1.069295,1.069295,??0.067000
1.070365,1.070365,1.070365,??0.068000
1.071436,1.071436,1.071436,??0.069000
1.072508,1.072508,1.072508,??0.070000
1.073581,1.073581,1.073581,??0.071000
1.074655,1.074655,1.074655,??0.072000
1.075731,1.075731,1.075731,??0.073000
1.076807,1.076807,1.076807,??0.074000
1.077884,1.077884,1.077884,??0.075000
1.078963,1.078963,1.078963,??0.076000
1.080042,1.080042,1.080042,??0.077000
1.081123,1.081123,1.081123,??0.078000
1.082204,1.082204,1.082204,??0.079000
1.083287,1.083287,1.083287,??0.080000
1.084371,1.084371,1.084371,??0.081000
1.085456,1.085456,1.085456,??0.082000
1.086542,1.086542,1.086542,??0.083000
1.087629,1.087629,1.087629,??0.084000
1.088717,1.088717,1.088717,??0.085000
1.089806,1.089806,1.089806,??0.086000
1.090897,1.090897,1.090897,??0.087000
1.091988,1.091988,1.091988,??0.088000
1.093081,1.093081,1.093081,??0.089000
1.094174,1.094174,1.094174,??0.090000
1.095269,1.095269,1.095269,??0.091000
1.096365,1.096365,1.096365,??0.092000
1.097462,1.097462,1.097462,??0.093000
1.098560,1.098560,1.098560,??0.094000
1.099659,1.099659,1.099659,??0.095000
1.100759,1.100759,1.100759,??0.096000
1.101860,1.101860,1.101860,??0.097000
1.102963,1.102963,1.102963,??0.098000
1.104066,1.104066,1.104066,??0.099000
1.105171,1.105171,1.105171,??0.100000
1.106277,1.106277,1.106277,??0.101000
1.107383,1.107383,1.107383,??0.102000
1.108491,1.108491,1.108491,??0.103000
1.109600,1.109600,1.109600,??0.104000
1.110711,1.110711,1.110711,??0.105000
1.111822,1.111822,1.111822,??0.106000
1.112934,1.112934,1.112934,??0.107000
1.114048,1.114048,1.114048,??0.108000
1.115162,1.115162,1.115162,??0.109000
1.116278,1.116278,1.116278,??0.110000
1.117395,1.117395,1.117395,??0.111000
1.118513,1.118513,1.118513,??0.112000
1.119632,1.119632,1.119632,??0.113000
1.120752,1.120752,1.120752,??0.114000
1.121873,1.121873,1.121873,??0.115000
1.122996,1.122996,1.122996,??0.116000
1.124119,1.124119,1.124119,??0.117000
1.125244,1.125244,1.125244,??0.118000
1.126370,1.126370,1.126370,??0.119000
1.127497,1.127497,1.127497,??0.120000
1.128625,1.128625,1.128625,??0.121000
1.129754,1.129754,1.129754,??0.122000
1.130884,1.130884,1.130884,??0.123000
1.132016,1.132016,1.132016,??0.124000
1.133148,1.133148,1.133148,??0.125000
1.134282,1.134282,1.134282,??0.126000
1.135417,1.135417,1.135417,??0.127000
1.136553,1.136553,1.136553,??0.128000
1.137690,1.137690,1.137690,??0.129000
1.138828,1.138828,1.138828,??0.130000
1.139968,1.139968,1.139968,??0.131000
1.141108,1.141108,1.141108,??0.132000
1.142250,1.142250,1.142250,??0.133000
1.143393,1.143393,1.143393,??0.134000
1.144537,1.144537,1.144537,??0.135000
1.145682,1.145682,1.145682,??0.136000
1.146828,1.146828,1.146828,??0.137000
1.147976,1.147976,1.147976,??0.138000
1.149124,1.149124,1.149124,??0.139000
1.150274,1.150274,1.150274,??0.140000
1.151425,1.151425,1.151425,??0.141000
1.152577,1.152577,1.152577,??0.142000
1.153730,1.153730,1.153730,??0.143000
1.154884,1.154884,1.154884,??0.144000
1.156040,1.156040,1.156040,??0.145000
1.157196,1.157196,1.157196,??0.146000
1.158354,1.158354,1.158354,??0.147000
1.159513,1.159513,1.159513,??0.148000
1.160673,1.160673,1.160673,??0.149000
1.161834,1.161834,1.161834,??0.150000
1.162997,1.162997,1.162997,??0.151000
1.164160,1.164160,1.164160,??0.152000
1.165325,1.165325,1.165325,??0.153000
1.166491,1.166491,1.166491,??0.154000
1.167658,1.167658,1.167658,??0.155000
1.168826,1.168826,1.168826,??0.156000
1.169996,1.169996,1.169996,??0.157000
1.171166,1.171166,1.171166,??0.158000
1.172338,1.172338,1.172338,??0.159000
1.173511,1.173511,1.173511,??0.160000
1.174685,1.174685,1.174685,??0.161000
1.175860,1.175860,1.175860,??0.162000
1.177037,1.177037,1.177037,??0.163000
1.178214,1.178214,1.178214,??0.164000
1.179393,1.179393,1.179393,??0.165000
1.180573,1.180573,1.180573,??0.166000
1.181754,1.181754,1.181754,??0.167000
1.182937,1.182937,1.182937,??0.168000
1.184120,1.184120,1.184120,??0.169000
1.185305,1.185305,1.185305,??0.170000
1.186491,1.186491,1.186491,??0.171000
1.187678,1.187678,1.187678,??0.172000
1.188866,1.188866,1.188866,??0.173000
1.190056,1.190056,1.190056,??0.174000
1.191246,1.191246,1.191246,??0.175000
1.192438,1.192438,1.192438,??0.176000
1.193631,1.193631,1.193631,??0.177000
1.194825,1.194825,1.194825,??0.178000
1.196021,1.196021,1.196021,??0.179000
1.197217,1.197217,1.197217,??0.180000
1.198415,1.198415,1.198415,??0.181000
1.199614,1.199614,1.199614,??0.182000
1.200814,1.200814,1.200814,??0.183000
1.202016,1.202016,1.202016,??0.184000
1.203218,1.203218,1.203218,??0.185000
1.204422,1.204422,1.204422,??0.186000
1.205627,1.205627,1.205627,??0.187000
1.206834,1.206834,1.206834,??0.188000
1.208041,1.208041,1.208041,??0.189000
1.209250,1.209250,1.209250,??0.190000
1.210459,1.210459,1.210459,??0.191000
1.211671,1.211671,1.211671,??0.192000
1.212883,1.212883,1.212883,??0.193000
1.214096,1.214096,1.214096,??0.194000
1.215311,1.215311,1.215311,??0.195000
1.216527,1.216527,1.216527,??0.196000
1.217744,1.217744,1.217744,??0.197000
1.218962,1.218962,1.218962,??0.198000
1.220182,1.220182,1.220182,??0.199000
1.221403,1.221403,1.221403,??0.200000
1.222625,1.222625,1.222625,??0.201000
1.223848,1.223848,1.223848,??0.202000
1.225072,1.225072,1.225072,??0.203000
1.226298,1.226298,1.226298,??0.204000
1.227525,1.227525,1.227525,??0.205000
1.228753,1.228753,1.228753,??0.206000
1.229983,1.229983,1.229983,??0.207000
1.231213,1.231213,1.231213,??0.208000
1.232445,1.232445,1.232445,??0.209000
1.233678,1.233678,1.233678,??0.210000
1.234912,1.234912,1.234912,??0.211000
1.236148,1.236148,1.236148,??0.212000
1.237385,1.237385,1.237385,??0.213000
1.238623,1.238623,1.238623,??0.214000
1.239862,1.239862,1.239862,??0.215000
1.241102,1.241102,1.241102,??0.216000
1.242344,1.242344,1.242344,??0.217000
1.243587,1.243587,1.243587,??0.218000
1.244831,1.244831,1.244831,??0.219000
1.246077,1.246077,1.246077,??0.220000
1.247323,1.247323,1.247323,??0.221000
1.248571,1.248571,1.248571,??0.222000
1.249821,1.249821,1.249821,??0.223000
1.251071,1.251071,1.251071,??0.224000
1.252323,1.252323,1.252323,??0.225000
1.253576,1.253576,1.253576,??0.226000
1.254830,1.254830,1.254830,??0.227000
1.256085,1.256085,1.256085,??0.228000
1.257342,1.257342,1.257342,??0.229000
1.258600,1.258600,1.258600,??0.230000
1.259859,1.259859,1.259859,??0.231000
1.261120,1.261120,1.261120,??0.232000
1.262381,1.262381,1.262381,??0.233000
1.263644,1.263644,1.263644,??0.234000
1.264909,1.264909,1.264909,??0.235000
1.266174,1.266174,1.266174,??0.236000
1.267441,1.267441,1.267441,??0.237000
1.268709,1.268709,1.268709,??0.238000
1.269979,1.269979,1.269979,??0.239000
1.271249,1.271249,1.271249,??0.240000
1.272521,1.272521,1.272521,??0.241000
1.273794,1.273794,1.273794,??0.242000
1.275069,1.275069,1.275069,??0.243000
1.276344,1.276344,1.276344,??0.244000
1.277621,1.277621,1.277621,??0.245000
1.278900,1.278900,1.278900,??0.246000
1.280179,1.280179,1.280179,??0.247000
1.281460,1.281460,1.281460,??0.248000
1.282742,1.282742,1.282742,??0.249000
1.284025,1.284025,1.284025,??0.250000
1.285310,1.285310,1.285310,??0.251000
1.286596,1.286596,1.286596,??0.252000
1.287883,1.287883,1.287883,??0.253000
1.289172,1.289172,1.289172,??0.254000
1.290462,1.290462,1.290462,??0.255000
1.291753,1.291753,1.291753,??0.256000
1.293045,1.293045,1.293045,??0.257000
1.294339,1.294339,1.294339,??0.258000
1.295634,1.295634,1.295634,??0.259000
1.296930,1.296930,1.296930,??0.260000
1.298228,1.298228,1.298228,??0.261000
1.299527,1.299527,1.299527,??0.262000
1.300827,1.300827,1.300827,??0.263000
1.302128,1.302128,1.302128,??0.264000
1.303431,1.303431,1.303431,??0.265000
1.304735,1.304735,1.304735,??0.266000
